;anne_hidalgo;bayrou;benoithamon;bruno_lemaire;cecileduflot;christineboutin;chtaubira;datirachida;eelv;evajoly;fhollande;fleurpellerin;fn_officiel;francoisfillon;harlemdesir;jf_cope;jlmelenchon;manuelvalls;martineaubry;mlp_officiel;modem;montebourg;nadine__morano;najatvb;nicolassarkozy;nk_m;partisocialiste;royalsegolene;ump;vpecresse;alainjuppe
alainjuppe;2896.8038821697173;5532.075319170694;2509.8239272266346;4896.04123429777;3358.313646337555;1354.683679964346;2876.133040440026;3706.7615063184103;945.8083593827195;1564.9880357951884;7951.849730532747;3005.884848764573;834.958957476986;7883.557435322918;1411.4357867205126;6130.3788175898435;3550.3025981926385;4017.4575997972934;1779.5990258500856;3725.796867888127;722.5660708396539;4306.626096348626;3598.9787584944243;4564.442334520623;11625.612967927776;7732.124513075019;1741.8837702051358;4125.124678660557;5726.190151584242;4824.727525487265;41997.91498746402
anne_hidalgo;92061.4985468191;10300.192604527492;6311.73884981299;1404.4831920235217;11877.289965406944;3482.7803117275416;6667.915170491883;1931.785095130007;4955.776154338774;3321.8044152142847;22515.105760736056;15047.787238795469;770.7062658727455;5760.315671775637;2613.825766520051;4075.56789163582;11392.373419082296;4239.456743736285;4630.149067006432;9715.39971421788;1638.2192892375651;9885.881282420814;1988.7447063394804;14366.656239986945;8180.413609729993;18483.733126588897;3718.3756565098975;6861.050696870178;1787.3302935566132;4645.172705052027;2896.8038821697173
bayrou;10300.192604527492;64179.150945551875;5041.785733607878;2316.707279733233;10772.109745698694;4248.453691877139;4437.9519737322635;2637.5119244511184;4067.1375593546277;4952.989401211682;19516.653769971537;3093.5520769021855;1206.1773588142391;7699.27149318902;2022.9310104068331;7623.283966719632;14026.490055063545;3860.226525435094;5917.8055534688965;13555.240246894495;3168.1364042224554;10714.38021310509;4411.699211928052;5594.688456395293;12765.398443949929;10704.694029182538;2701.6546865543987;7735.68845458191;3172.4840374114947;4585.477826886664;5532.075319170694
benoithamon;6311.73884981299;5041.785733607878;57662.71705295845;1422.142322047597;8222.181155200708;1962.1803805650268;4916.927503508019;1757.6969055548748;7231.400769517643;3618.0868419247604;12024.835571297432;4489.229359151724;620.8065116428215;2200.7502454273676;2937.01527086843;3623.221578478543;5846.06274695123;3962.3970736177216;5362.9593169524;2953.9377316983814;5133.809406204866;10051.950827750634;2643.1185451077818;8456.808238549804;4018.120291986129;10627.672164538477;3894.4636566016015;6663.667269135225;1659.4669951093833;3833.025757005479;2509.8239272266346
bruno_lemaire;1404.4831920235217;2316.707279733233;1422.142322047597;12563.542348245297;1656.8933115217917;935.5566125082205;1344.743960122396;2243.7568119120288;515.1715173115301;828.318947319895;2640.023849654635;1522.204437087348;447.46831182963786;3706.2192771594896;828.3739752581262;3036.3267195732883;1534.1777052280775;1731.9743852871907;906.878958946392;1585.8695264134453;379.3376434968804;2079.6538585598364;2226.2825913951656;2020.9488662235246;4480.490681930378;4351.640027721998;919.1065167425177;1782.8572951267101;2998.1064054181993;3250.701429903876;4896.04123429777
cecileduflot;11877.289965406944;10772.109745698694;8222.181155200708;1656.8933115217917;59586.24178861234;4314.684671401976;7951.313277997444;2459.9551055180623;6510.161821967978;7029.451040541708;15816.000061734338;5497.94073288902;919.9984174793879;4996.383893831314;3048.201062392775;5875.1845176940915;12772.478554867177;4316.031393526146;6543.535851420379;9482.763389927728;1025.9650357368475;12364.26669547319;3487.741505544116;11612.302532842748;8083.421016704092;11316.28906111949;3779.6492032292813;9418.08696267113;2177.243543964808;4483.385322461032;3358.313646337555
christineboutin;3482.7803117275416;4248.453691877139;1962.1803805650268;935.5566125082205;4314.684671401976;15824.97177672207;1131.3148337965686;1200.6570845378312;2920.2635058780374;2275.711858919124;3089.164918013549;822.0503607506294;737.7372309410846;3321.62140087965;897.2777721450118;3811.6044444853555;4005.461263370107;908.428605993588;2793.8643235048366;4780.892667636255;571.9865961716027;4084.629118044887;2005.6117760593227;1619.4135742677233;2354.5377690236155;3608.860275380633;972.374674304686;2394.5166897607733;1392.916724516116;2652.791406852692;1354.683679964346
chtaubira;6667.915170491883;4437.9519737322635;4916.927503508019;1344.743960122396;7951.313277997444;1131.3148337965686;45466.30053330592;1848.6202873239542;1616.4978830666869;2831.8862885313833;12800.253681061327;5484.238653438973;623.7634168485488;2272.360132361602;2600.620525698702;2117.8233597400863;6841.483869541951;4895.857263108564;2638.3669514758853;3773.217013574093;410.95978289597457;6925.325668807148;1958.9216291208186;13545.999221610904;5511.244448885275;4519.430733387642;3464.7951268841093;6437.638378331886;1524.488058096664;1666.2239994799643;2876.133040440026
datirachida;1931.785095130007;2637.5119244511184;1757.6969055548748;2243.7568119120288;2459.9551055180623;1200.6570845378312;1848.6202873239542;17021.016424176665;590.1784020033381;1228.0623251484944;4209.555820365515;1663.129398416153;598.4325006006825;3465.795446476076;1088.629392825415;3734.664767512454;2357.928093719384;1980.1987704561038;1334.6474898563563;2501.7089346811717;337.3539975469166;2761.125896220898;3582.245495474177;3359.867592866524;5759.518339059131;4554.654620771539;1109.642271446397;3181.6454266215615;2920.6122300287893;3284.6416429799697;3706.7615063184103
eelv;4955.776154338774;4067.1375593546277;7231.400769517643;515.1715173115301;6510.161821967978;2920.2635058780374;1616.4978830666869;590.1784020033381;48045.56231865649;4210.136383735019;4127.971211657475;1326.2322133404875;545.3838245188243;2680.147191437985;1163.2962114517754;2578.7539614101897;4792.887090981609;1084.333137964187;2962.6060178703574;3359.06550075272;5649.858505673467;4484.877098940043;840.6938818552424;2306.3583193826908;1577.4532982634728;8252.395403786499;1912.184203873072;2476.244241024924;1063.5937722088668;2597.570238393266;945.8083593827195
