;twitter;followers_count
lil wayne;liltunechi;21260773.0
drake;drake;20719866.0
pitbull;pitbull;19379957.0
eminem;eminem;19145091.0
nicki minaj;nickiminaj;18870683.0
wiz khalifa;wizkhalifa;17952734.0
snoop dogg;snoopdogg;11911439.0
kanye west;kanyewest;11255995.0
p diddy;iamdiddy;10264732.0
ludacris;ludacris;10129769.0
50 cent;50cent;7545542.0
big sean;bigsean;6478822.0
j. cole;jcolenc;6241737.0
tyga;tyga;5740319.0
T.I.;tip;5739850.0
pharell;Pharrell;5699134.0
mac miller;macmiller;4740571.0
kendrick lamar;kendricklamar;4526040.0
iggy azalea;iggyazalea;4259336.0
wale;wale;4060540.0
meek mill;meekmill;3930150.0
busta rhymes;bustarhymes;3191382.0
jay z;s_c_;3102622.0
rick ross;rickyrozay;3102259.0
fabolous;myfabolouslife;3089126.0
2 chainz;2chainz;2924944.0
common;common;2888603.0
macklemore;macklemore;2632146.0
missy eliot;missyelliott;2611624.0
dr dre;drdre;2378022.0
tyler the creator;fucktyler;2279951.0
b.o.b.;bobatl;2198126.0
gucci mane;gucci1017;2185360.0
french montana;frenchmontana;2093078.0
ice cube;icecube;2018965.0
juicy j;therealjuicyj;1986732.0
nas;nas;1712313.0
donald glover;donaldglover;1706172.0
future;1future;1363720.0
lil'kim;lilkim;1335736.0
jadakiss;therealkiss;1303735.0
lupe fiasco;lupefiasco;1292410.0
kid cudi;kidcudi;1148198.0
the game;thegame;1146277.0
schoolboy q;schoolboyq;1129970.0
big boi;bigboi;1066831.0
pusha t;pusha_t;1025787.0
chief keef;chiefkeef;1011596.0
talib kweli;talibkweli;980800.0
machine gun kelly;machinegunkelly;910946.0
lloyd banks;lloydbanks;899970.0
chance the rapper;chancetherapper;838986.0
eve;therealeve;831743.0
young jeezy;youngjeezy;831604.0
asap rocky;asvpxrocky;816953.0
kid ink;kid_ink;793281.0
lil durk;lildurk_;758260.0
raekwon;raekwon;748495.0
q-tip;qtiptheabstract;730752.0
ghostface killah;ghostfacekillah;648866.0
azealia banks;azealiabanks;588476.0
warren g;regulator;554692.0
rza;rza;553276.0
rich homie quan;richhomiequan;483413.0
method man;methodman;477829.0
Chuck D;mrchuckd;469053.0
hopsin;hopsin;440021.0
tech n9ne;techn9ne;437533.0
xzibit;xzibit;424760.0
lil reese;lilreese300;402915.0
asap ferg;asapferg;392415.0
tony yayo;tonyyayo;307105.0
too short;tooshort;303128.0
young thug;youngthug;298680.0
dmx;dmx;298190.0
immortal technique;immortaltech;241435.0
gza;therealgza;233333.0
action bronson;actionbronson;221890.0
scarface;brothermob;218805.0
twista;twistagmg;193443.0
Lauryn hill;mslaurynhill;137322.0
mos def;mosdefofficial;128675.0
krs one;IamkrsOne;118727.0
rakim;ericbandrakim;103529.0
katty got bandz;katiegotbandz;50776.0
mobb deep;mobbdeep;48023.0
dreezy;dreezydreezy;33746.0
grandmaster flash;djflash4eva;32905.0
guru;gurugangstarr;13169.0
