;evajoly;nadine__morano;chtaubira;fleurpellerin;datirachida;christineboutin;royalsegolene;anne_hidalgo;francoisfillon;jf_cope;fhollande;nk_m;eelv;martineaubry;partisocialiste;nicolassarkozy;harlemdesir;manuelvalls;najatvb;benoithamon;mlp_officiel;fn_officiel;bruno_lemaire;alainjuppe;bayrou;ump;cecileduflot;jlmelenchon;montebourg;vpecresse;modem
evajoly;120440.0;25783.0;33739.0;28154.0;21829.0;32613.0;56935.0;44609.0;29306.0;45411.0;70977.0;48799.0;39616.0;53863.0;25981.0;33427.0;24527.0;28145.0;44387.0;46606.0;44643.0;6302.0;16516.0;26634.0;58799.0;17515.0;69973.0;61755.0;64940.0;38702.0;8636.0
nadine__morano;25783.0;130545.0;28735.0;26542.0;42313.0;25138.0;45621.0;30029.0;41394.0;54161.0;66328.0;59764.0;13857.0;28383.0;22692.0;62706.0;20857.0;31601.0;44821.0;36649.0;38426.0;10128.0;30846.0;45099.0;47194.0;37022.0;44326.0;40426.0;47788.0;47977.0;7508.0
chtaubira;33739.0;28735.0;171102.0;54628.0;29165.0;17922.0;68378.0;65780.0;35525.0;34253.0;101636.0;55129.0;20893.0;34434.0;42182.0;57440.0;36252.0;50759.0;98911.0;56003.0;42245.0;9835.0;23123.0;40034.0;54229.0;25248.0;79007.0;66587.0;73275.0;29170.0;7121.0
fleurpellerin;28154.0;26542.0;54628.0;208716.0;26411.0;15147.0;55288.0;90210.0;30823.0;30788.0;111090.0;84202.0;18219.0;29979.0;33422.0;41603.0;30555.0;44529.0;99011.0;51031.0;24599.0;7048.0;23249.0;37354.0;40412.0;21552.0;58839.0;41152.0;67990.0;29690.0;7097.0
datirachida;21829.0;42313.0;29165.0;26411.0;90413.0;19957.0;43011.0;29866.0;44221.0;47114.0;49062.0;53421.0;11830.0;23234.0;21111.0;55287.0;21088.0;29644.0;43316.0;30279.0;32267.0;9309.0;31946.0;47456.0;39496.0;36340.0;37908.0;34893.0;41780.0;43501.0;6390.0
christineboutin;32613.0;25138.0;17922.0;15147.0;19957.0;86478.0;34344.0;43090.0;40099.0;49794.0;38527.0;47968.0;34838.0;37518.0;18188.0;30602.0;17795.0;16190.0;25012.0;30770.0;51187.0;10776.0;16343.0;22383.0;52122.0;21927.0;52303.0;48323.0;51893.0;37317.0;9894.0
royalsegolene;56935.0;45621.0;68378.0;55288.0;43011.0;34344.0;241431.0;72930.0;49547.0;67664.0;164368.0;77174.0;32082.0;73660.0;50697.0;83832.0;42193.0;67735.0;102841.0;77866.0;68377.0;12619.0;29797.0;54819.0;84589.0;35139.0;98313.0;82268.0;111779.0;53624.0;12300.0
anne_hidalgo;44609.0;30029.0;65780.0;90210.0;29866.0;43090.0;72930.0;297529.0;59715.0;56928.0;144552.0;132904.0;50957.0;56013.0;45003.0;72083.0;38298.0;47047.0;103571.0;67390.0;82346.0;12178.0;24003.0;40171.0;95853.0;28850.0;110573.0;99514.0;98586.0;53151.0;16740.0
francoisfillon;29306.0;41394.0;35525.0;30823.0;44221.0;40099.0;49547.0;59715.0;201801.0;87279.0;67978.0;84197.0;32491.0;35961.0;30580.0;91968.0;26413.0;36711.0;50074.0;36855.0;93358.0;17300.0;42713.0;73776.0;78069.0;62818.0;63270.0;93019.0;74979.0;60740.0;11185.0
jf_cope;45411.0;54161.0;34253.0;30788.0;47114.0;49794.0;67664.0;56928.0;87279.0;194357.0;93105.0;103865.0;36629.0;56741.0;33644.0;102367.0;29978.0;36894.0;52954.0;52732.0;82156.0;17711.0;38757.0;66004.0;87604.0;66968.0;76546.0;75848.0;86529.0;75606.0;14009.0
