;jlmelenchon;cecileduflot;evajoly;fleurpellerin;eelv;benoithamon;montebourg;chtaubira;anne_hidalgo;najatvb;harlemdesir;martineaubry;fhollande;royalsegolene;manuelvalls;partisocialiste;bayrou;modem;datirachida;alainjuppe;francoisfillon;jf_cope;nk_m;christineboutin;bruno_lemaire;vpecresse;nadine__morano;nicolassarkozy;ump;mlp_officiel;fn_officiel;;
jlmelenchon;;0,214352813;0,228988796;0,043024717;0,099757123;0,101383754;0,23183396;0,150473731;0,123747425;0,0830057;0,277251058;0,207052348;0,043752129;0,130078734;0,108588168;0,167353171;0,218552129;0,031076365;0,138530393;0,084535211;0,323391075;0,165487373;0,072355667;0,253110168;0,122113466;0,116917997;0,09336096;0,037505214;0,081226723;0,175750018;0,081903503;;
cecileduflot;0,089378333;;0,253832169;0,07073765;0,135499753;0,142590942;0,221825321;0,174883665;0,129014736;0,113679695;0,360507619;0,231807271;0,032220223;0,156117518;0,115774554;0,164703793;0,167844379;0,035573672;0,144524572;0,079963818;0,107476347;0,151150849;0,094044924;0,272650387;0,131881062;0,154859261;0,093892649;0,020970405;0,067845188;0,038504738;0,039535848;; 
evajoly;0,044375785;0,117971042;;0,026025973;0,087627997;0,062745688;0,09658339;0,062285391;0,03608245;0,035215724;0,172609587;0,161707198;0,016186851;0,080198664;0,049933693;0,072728135;0,07717443;0,019640237;0,072149764;0,03726347;0,03981236;0,081199102;0,030148047;0,143805113;0,065930366;0,088058983;0,046261521;0,006682041;0,028915703;0,015766354;0,014840151;;
fleurpellerin;0,023400467;0,092268627;0,073043514;;0,027603636;0,07785324;0,132913324;0,120622056;0,163453642;0,138463102;0,235426981;0,074689554;0,036763211;0,078738936;0,113428702;0,104284603;0,048201823;0,015592629;0,097710346;0,07157224;0,043718061;0,049396892;0,1084803;0,051946403;0,121160449;0,06640781;0,0484979;0,010282351;0,040136203;0,007203913;0,017131203;;
eelv;0,033539321;0,109256124;0,152027241;0,01706358;;0,125408603;0,080462459;0,035553759;0,053831148;0,022578305;0,137581852;0,104951456;0,008409468;0,041047094;0,029086486;0,083326249;0,063371632;0,195899672;0,034673511;0,022520365;0,057652181;0,066343593;0,068582191;0,184535148;0,041005276;0,089721891;0,022632118;0,004092306;0,033142695;0,013639477;0,023437227;;
benoithamon;0,040909158;0,137987913;0,130648443;0,057759359;0,150511315;;0,180340434;0,108144438;0,068560027;0,082788696;0,347357789;0,189984894;0,024496894;0,110459289;0,106288558;0,169707003;0,078558;0,178006507;0,103266272;0,059760679;0,047339957;0,093214607;0,088322118;0,123992662;0,113195967;0,132395387;0,071154758;0,010424003;0,051710729;0,011994457;0,026678428;;
montebourg;0,090425593;0,207502039;0,194394932;0,095318311;0,093346334;0,174323225;;0,152317774;0,10738345;0,118493592;0,41763058;0,263221996;0,038212001;0,183712821;0,159300248;0,210222713;0,166944873;0,038929947;0,162218626;0,102543807;0,145571642;0,180614162;0,072266174;0,258112885;0,165530851;0,155756327;0,098909311;0,019182918;0,083394622;0,034255562;0,046474653;;
chtaubira;0,047874844;0,133442101;0,102258887;0,070561356;0,033645103;0,085270479;0,124246154;;0,072428923;0,132609795;0,307572727;0,093465163;0,026076569;0,106712555;0,131327981;0,150983562;0,069149434;0,014249363;0,108608102;0,068482758;0,048880344;0,054485233;0,03755909;0,071489217;0,107035414;0,057552541;0,052735658;0,014297539;0,047504644;0,015321139;0,026805498;;
anne_hidalgo;0,079720732;0,199329402;0,119949739;0,193607963;0,103147427;0,109459616;0,177361007;0,146656207;;0,140643692;0,309134497;0,164024809;0,045867585;0,113731186;0,113720492;0,162033708;0,160491257;0,056802594;0,113494109;0,068974945;0,123909151;0,104852119;0,15361054;0,220081297;0,111790381;0,16044751;0,053538517;0,021222028;0,055695083;0,039449357;0,033120193;;
najatvb;0,059333562;0,194882278;0,129896458;0,181978497;0,048003566;0,146659899;0,217156614;0,297934933;0,15605499;;0,418892927;0,155647942;0,0525467;0,187497212;0,221816346;0,224366333;0,08717299;0,025568042;0,197395238;0,108682594;0,078961127;0,096354611;0,090853073;0,102332794;0,160858205;0,106337095;0,097571275;0,020820892;0,073021817;0,018768116;0,038362766;;
harlemdesir;0,016404366;0,051156122;0,052701057;0,025611556;0,024212355;0,050934389;0,063352566;0,057198859;0,028392171;0,034673425;;0,06734692;0,007908184;0,048766421;0,05207247;0,124959256;0,031520065;0,017312895;0,063957954;0,033607282;0,030571251;0,042733207;0,016557961;0,056700118;0,065934746;0,042549504;0,029517548;0,004687935;0,033989024;0,005534735;0,022296116;;
martineaubry;0,040899939;0,10981622;0,164831433;0,027126632;0,061662428;0,093005665;0,133306205;0,058029066;0,050294088;0,04301237;0,224840224;;0,025467191;0,122481537;0,075834423;0,119926454;0,092207601;0,021011945;0,078411739;0,042373509;0,055432327;0,115132031;0,038303186;0,176547823;0,072183381;0,103961877;0,0526888;0,008450322;0,032588265;0,019336089;0,014209341;;
fhollande;0,150288026;0,265430401;0,286916647;0,232183918;0,085917846;0,208537443;0,336519826;0,281532773;0,244565927;0,252509734;0,459108904;0,442857218;;0,417718309;0,457147927;0,361180828;0,304096478;0,066499857;0,247315185;0,189339155;0,146044052;0,261724535;0,190262847;0,195208242;0,210133717;0,188337574;0,226661424;0,134657578;0,160486257;0,087023357;0,093252095;;
royalsegolene;0,054912906;0,15805808;0,174704238;0,061115473;0,0515395;0,115562839;0,198835204;0,141591427;0,07452682;0,110731308;0,347938733;0,261755765;0,051336523;;0,179081175;0,186012656;0,120532733;0,029958271;0,186924526;0,09822213;0,081324891;0,137445012;0,05384005;0,151312541;0,141907214;0,131082987;0,096137482;0,024674045;0,072545011;0,029119305;0,037802895;;
manuelvalls;0,028327683;0,072433355;0,067218748;0,054405777;0,022568851;0,068716794;0,106544414;0,107681012;0,046050269;0,080952373;0,229588691;0,100150342;0,034718433;0,110665017;;0,123653766;0,060147672;0,018217894;0,116338456;0,095658501;0,059742399;0,066661584;0,033707975;0,057404754;0,137857169;0,069484347;0,061399307;0,021942237;0,060181309;0,014243781;0,031773679;;
partisocialiste;0,026874408;0,063431576;0,060266448;0,030790636;0,039799393;0,067538678;0,08655064;0,076205785;0,040390127;0,050404596;0,339146361;0,097493902;0,016885132;0,070758615;0,076117368;;0,042095519;0,02807369;0,06519248;0,041475482;0,040034364;0,053584026;0,020300976;0,061445587;0,073156638;0,046470289;0,036433855;0,007839313;0,097998733;0,00885295;0,051252256;;
bayrou;0,098153564;0,180781829;0,178851526;0,039802285;0,08465168;0,087435799;0,192224973;0,0976097;0,111883825;0,054769713;0,239249979;0,209640535;0,039759163;0,128229489;0,103547904;0,117728591;;0,109849987;0,154956194;0,131722618;0,165617693;0,196124196;0,088962214;0,268465167;0,18439921;0,158385607;0,118766292;0,033116619;0,098857924;0,05504102;0,05183405;;
modem;0,006271785;0,017218153;0,020453886;0,005785938;0,117593764;0,089031694;0,020143291;0,009038778;0,017794836;0,007218815;0,059053332;0,021467659;0,003907117;0,014322194;0,01409388;0,035282185;0,04936395;;0,01981985;0,017204808;0,014969029;0,022992079;0,046463109;0,036144557;0,030193526;0,050351759;0,013247155;0,004004767;0,025297021;0,003634751;0,018971443;;
datirachida;0,01650014;0,041283945;0,044345102;0,021398169;0,012283723;0,030482381;0,049536916;0,040659131;0,020983637;0,03289173;0,128751084;0,0472804;0,008575672;0,052740072;0,053117461;0,0483543;0,041096086;0,011697202;;0,088260608;0,074552124;0,096081706;0,037851821;0,075871041;0,178592689;0,113453817;0,096436769;0,014941623;0,091009334;0,010158183;0,025716931;;
alainjuppe;0,024844052;0,056360555;0,056511427;0,03867434;0,019685655;0,043525939;0,077264486;0,063258567;0,031465965;0,044684025;0,166929065;0,063042979;0,016199442;0,068379516;0,107765518;0,075905157;0,08619739;0,025053806;0,217775567;;0,169581836;0,157716232;0,064258438;0,085604177;0,389702291;0,166649459;0,096887241;0,030159732;0,178434079;0,015128589;0,035881377;;
francoisfillon;0,10520297;0,083851301;0,066832248;0,026148957;0,055783449;0,038165913;0,121412231;0,049978998;0,062570301;0,035935261;0,168084222;0,091289449;0,013831162;0,062669371;0,074499625;0,081101323;0,119965306;0,024128631;0,203618595;0,187713067;;0,236148169;0,067411696;0,209897461;0,294997953;0,186975523;0,087248077;0,031557976;0,20806636;0,064783212;0,057018731;;
jf_cope;0,04501247;0,098599682;0,113969173;0,02470365;0,053673094;0,062834736;0,125952118;0,046580068;0,044270058;0,036664687;0,196447833;0,158533721;0,020724651;0,088558213;0,069504844;0,090760811;0,118781315;0,030987411;0,219414909;0,145968647;0,197447937;;0,088100048;0,24086011;0,241677597;0,237918987;0,134756031;0,036284883;0,240422135;0,035148335;0,05820011;;
nk_m;0,060925387;0,189914462;0,130994513;0,167946178;0,171761865;0,184307516;0,156007865;0,09940177;0,200775932;0,107021949;0,235638563;0,163274418;0,046639571;0,107389809;0,108800241;0,106448049;0,166793949;0,193853247;0,267590049;0,184107342;0,174486177;0,27273062;;0,228048449;0,346370467;0,379230664;0,154111863;0,047995253;0,204753212;0,037709194;0,048961942;;
christineboutin;0,028029129;0,072410754;0,082175532;0,010576671;0,060781129;0,03402858;0,073281674;0,024882491;0,037831019;0,015853397;0,106120123;0,098973717;0,006293221;0,03969235;0,024367968;0,042372662;0,066196789;0,019832707;0,070539682;0,032255975;0,071450822;0,098061132;0,029991721;;0,074465989;0,091629268;0,053992592;0,006108257;0,043404743;0,019412803;0,031703388;;
bruno_lemaire;0,010735759;0,027806642;0,029910443;0,019584999;0,010722562;0,024663117;0,037310736;0,029576718;0,015255924;0,019784263;0,097970942;0,032126536;0,005378234;0,029553269;0,046459014;0,040051423;0,036097506;0,013152917;0,131822728;0,116578198;0,07972384;0,078115565;0,036164652;0,059119007;;0,112281498;0,059933218;0,011623507;0,093424134;0,006439419;0,019229423;;
vpecresse;0,02368685;0,075241955;0,092059328;0,024736521;0,054064728;0,066473208;0,080901642;0,036647451;0,050457279;0,030138264;0,145691501;0,106624637;0,011108048;0,06290775;0,053961546;0,058626823;0,071448091;0,050545171;0,192975646;0,114880168;0,11644229;0,177209527;0,091243861;0,167633247;0,258740834;;0,109691709;0,018626541;0,131162445;0,016474561;0,024595444;;
nadine__morano;0,02426806;0,058532665;0,062052296;0,023178547;0,017497847;0,045837565;0,065916271;0,043085134;0,02160235;0,035481276;0,129677257;0,069333891;0,017152293;0,059196275;0,061179325;0,058975269;0,06874038;0,017062059;0,21046014;0,085694225;0,069714908;0,128780464;0,047575142;0,126737147;0,177201822;0,140740022;;0,019367455;0,100996889;0,014969938;0,032595981;;
nicolassarkozy;0,101166587;0,135659185;0,093008523;0,050995443;0,032832445;0,069683159;0,132661776;0,12121603;0,088858141;0,078569189;0,213717839;0,11539214;0,105742863;0,157658605;0,226880832;0,131679595;0,198902576;0,05352563;0,338376875;0,276814051;0,261670417;0,359834826;0,153751019;0,148786222;0,356626384;0,248000026;0,200977877;;0,517752825;0,135222789;0,154074353;;
ump;0,018240803;0,036539367;0,033507881;0,016571996;0,022137191;0,028778855;0,048014096;0,033530066;0,019414525;0,02294062;0,129002311;0,037047914;0,010491986;0,03859086;0,051805767;0,137044159;0,049431692;0,028148385;0,171588591;0,136344629;0,143630584;0,198495877;0,054607213;0,088020171;0,238635436;0,145388006;0,087253582;0,043104444;;0,019184398;0,096921069;;
mlp_officiel;0,302881807;0,159143505;0,140209447;0,022826524;0,069914168;0,051227862;0,15135424;0,082989312;0,105531627;0,045248687;0,161208676;0,168695673;0,043660475;0,118875044;0,094096737;0,095008155;0,211209404;0,031037841;0,146977646;0,088713853;0,343194499;0,222697108;0,077179031;0,30211066;0,126227897;0,140141158;0,099249439;0,086393733;0,147224797;;0,727803114;;
fn_officiel;0,013336921;0,015439779;0,012469803;0,005129021;0,011351388;0,010766168;0,019402377;0,013719247;0,008371646;0,008739176;0,061361515;0,011713442;0,004420654;0,014581763;0,019833166;0,051971006;0,018793913;0,015307086;0,035158447;0,019880962;0,028541098;0,034842468;0,009468605;0,04661855;0,035616413;0,019768868;0,020419607;0,009301179;0,070279111;0,068768443;;;
