;kaarisofficiel1;sneazzy;nekfeu1995;sopranopsy4;canardo78190;sethgueko;dossehlafamine;redkcarpediem;disizfr;algerino_off;hocpoc;stillfresh;lordkossity;nor_officiel;lim92officiel;akhenatoniam;grandcorpsmalad;maskaleblanc9;blackoofficiel;rohff;joeystarr_;bigfloetoli;officielniro;jul_levrai;gradidur;orel_san;keryjames922012;donchoarap;officielks;diams;medinrecords;ixzoo;monsieurbors;maitrgims;aketofficiel;sultanofficiel;oxmopuccino;alonzopsy4;rimkofficiel;lacrim_officiel;tunisniper;general_mactyer;abdalmalik1;mcsolaar1;booba;gyneco;gab1mc;lafouine78;guizlabanquise;nessbealne2s;bmesrimes;fababyofficiel;mryouofficiel;sinikofficiel;desporutti93;youssouphamusik;leckyougo;zehefyu;hayce_lemsi;jokemtp;grodashizzle;punchydinos
kaarisofficiel1;276410.0;9345.0;12989.0;83464.0;16062.0;30656.0;18130.0;11233.0;20438.0;11825.0;809.0;11752.0;1804.0;2174.0;1149.0;6568.0;3992.0;23101.0;1960.0;120009.0;6876.0;1750.0;42336.0;8154.0;25168.0;39259.0;39847.0;33.0;121.0;2425.0;9937.0;4277.0;3869.0;121946.0;5470.0;40338.0;17744.0;33582.0;42971.0;68563.0;18319.0;35052.0;552.0;224.0;217710.0;2264.0;170.0;164764.0;17654.0;15587.0;68424.0;58789.0;30180.0;10261.0;18595.0;46655.0;21808.0;13868.0;31068.0;17559.0;4534.0;6100.0
sneazzy;9345.0;71535.0;50392.0;19181.0;5127.0;9072.0;3945.0;4732.0;20802.0;3090.0;2315.0;3913.0;1108.0;419.0;333.0;6608.0;2125.0;5347.0;854.0;10411.0;6984.0;4962.0;5726.0;853.0;3114.0;37882.0;9233.0;24.0;69.0;1483.0;3915.0;411.0;1557.0;15340.0;3762.0;7444.0;14120.0;7617.0;11518.0;6967.0;8034.0;6979.0;474.0;152.0;26101.0;2406.0;60.0;25996.0;18146.0;6596.0;10962.0;10375.0;6103.0;4251.0;5171.0;17735.0;5741.0;4990.0;4800.0;7288.0;2254.0;7236.0
nekfeu1995;12989.0;50392.0;115596.0;23486.0;5638.0;12005.0;5076.0;5886.0;26456.0;3612.0;3235.0;4878.0;1329.0;555.0;489.0;8791.0;2485.0;6152.0;1191.0;13547.0;8323.0;6453.0;7712.0;1262.0;4616.0;53254.0;11814.0;45.0;102.0;1600.0;5157.0;593.0;2406.0;19166.0;4655.0;8841.0;18732.0;9190.0;13627.0;9854.0;9555.0;8750.0;605.0;219.0;35699.0;2755.0;76.0;33173.0;27700.0;7903.0;12907.0;12702.0;7944.0;5413.0;6640.0;21386.0;6871.0;5953.0;7067.0;9917.0;2893.0;9830.0
sopranopsy4;83464.0;19181.0;23486.0;1479742.0;33826.0;40359.0;12327.0;24987.0;44289.0;33452.0;2072.0;13923.0;5287.0;2312.0;1222.0;18565.0;16348.0;62616.0;4698.0;146451.0;24109.0;2822.0;29908.0;11827.0;11804.0;286533.0;68944.0;128.0;274.0;16751.0;16071.0;1858.0;3547.0;380296.0;11925.0;57730.0;117905.0;82029.0;165741.0;65701.0;49411.0;40421.0;1497.0;403.0;708265.0;4756.0;148.0;877447.0;22436.0;34861.0;210582.0;86289.0;65884.0;25314.0;18337.0;187366.0;36949.0;31338.0;25000.0;9337.0;5944.0;5241.0
canardo78190;16062.0;5127.0;5638.0;33826.0;51911.0;14667.0;5588.0;9872.0;12402.0;10865.0;496.0;8888.0;1646.0;682.0;523.0;4559.0;2217.0;12081.0;1389.0;28438.0;4599.0;656.0;13538.0;2358.0;3261.0;18398.0;19041.0;41.0;65.0;3090.0;6250.0;934.0;1271.0;30388.0;5340.0;22614.0;8228.0;19310.0;21308.0;18663.0;17682.0;14620.0;351.0;105.0;33476.0;1262.0;67.0;45423.0;8561.0;12937.0;22577.0;28657.0;18871.0;9356.0;8451.0;19499.0;17541.0;11638.0;9239.0;3314.0;3057.0;2104.0
sethgueko;30656.0;9072.0;12005.0;40359.0;14667.0;87344.0;13466.0;12775.0;21725.0;10106.0;1554.0;10119.0;2883.0;1122.0;1236.0;10008.0;2798.0;11291.0;1994.0;36548.0;8932.0;1492.0;25012.0;3049.0;7312.0;32388.0;28484.0;67.0;147.0;3392.0;10914.0;1573.0;3430.0;35605.0;8835.0;21526.0;20426.0;27000.0;39800.0;28810.0;21878.0;30142.0;597.0;201.0;59154.0;2628.0;162.0;51960.0;14990.0;23112.0;23276.0;29247.0;21862.0;12610.0;18450.0;30358.0;18100.0;18984.0;14143.0;7674.0;5910.0;4631.0
dossehlafamine;18130.0;3945.0;5076.0;12327.0;5588.0;13466.0;31590.0;6374.0;8829.0;3644.0;679.0;5828.0;1460.0;1045.0;556.0;3949.0;996.0;4654.0;1140.0;13665.0;2769.0;679.0;15162.0;1498.0;10230.0;9780.0;11171.0;22.0;52.0;1281.0;5605.0;2380.0;2683.0;13553.0;4476.0;9612.0;7685.0;11863.0;13297.0;13362.0;7672.0;16111.0;289.0;105.0;21617.0;880.0;82.0;16429.0;7170.0;8811.0;9111.0;12222.0;6635.0;4903.0;11649.0;12135.0;7914.0;7203.0;7926.0;10354.0;4673.0;3412.0
redkcarpediem;11233.0;4732.0;5886.0;24987.0;9872.0;12775.0;6374.0;32567.0;12174.0;8726.0;853.0;7028.0;1611.0;893.0;520.0;6517.0;1890.0;9003.0;1658.0;17261.0;4059.0;854.0;10780.0;1629.0;2740.0;14080.0;17370.0;63.0;74.0;2254.0;8305.0;754.0;2419.0;19949.0;6407.0;13708.0;9707.0;19786.0;17029.0;12225.0;14870.0;14160.0;412.0;127.0;20622.0;1020.0;60.0;23443.0;7946.0;10636.0;15874.0;16845.0;10361.0;8732.0;9584.0;17926.0;12355.0;9910.0;7001.0;3355.0;4037.0;2826.0
disizfr;20438.0;20802.0;26456.0;44289.0;12402.0;21725.0;8829.0;12174.0;112061.0;8599.0;3885.0;7672.0;3183.0;927.0;698.0;15829.0;5585.0;12171.0;2694.0;27758.0;14146.0;4439.0;13774.0;2011.0;5279.0;55472.0;29430.0;69.0;209.0;4550.0;12245.0;988.0;4099.0;36843.0;8098.0;17252.0;35107.0;21343.0;29791.0;16214.0;20807.0;20136.0;1527.0;444.0;52740.0;4188.0;161.0;52106.0;18718.0;16728.0;25356.0;24029.0;13538.0;11452.0;12743.0;41412.0;14375.0;14244.0;9027.0;10121.0;5213.0;7756.0
algerino_off;11825.0;3090.0;3612.0;33452.0;10865.0;10106.0;3644.0;8726.0;8599.0;50174.0;406.0;4820.0;1443.0;940.0;549.0;5034.0;2639.0;10179.0;1359.0;23032.0;3903.0;464.0;9006.0;5869.0;2658.0;12455.0;14779.0;62.0;63.0;3210.0;5395.0;519.0;1083.0;29656.0;4656.0;13146.0;6602.0;21134.0;20376.0;19268.0;15405.0;10893.0;398.0;77.0;26913.0;1009.0;54.0;35146.0;5324.0;8829.0;20144.0;15774.0;17372.0;9842.0;5511.0;12703.0;13284.0;8718.0;8253.0;2067.0;2052.0;1258.0
