;kaarisofficiel1;sneazzy;nekfeu1995;sopranopsy4;canardo78190;sethgueko;dossehlafamine;redkcarpediem;disizfr;algerino_off;hocpoc;stillfresh;lordkossity;nor_officiel;lim92officiel;akhenatoniam;grandcorpsmalad;maskaleblanc9;blackoofficiel;rohff;joeystarr_;bigfloetoli;officielniro;jul_levrai;gradidur;orel_san;keryjames922012;donchoarap;officielks;diams;medinrecords;ixzoo;monsieurbors;maitrgims;aketofficiel;sultanofficiel;oxmopuccino;alonzopsy4;rimkofficiel;lacrim_officiel;tunisniper;general_mactyer;abdalmalik1;mcsolaar1;booba;gyneco;gab1mc;lafouine78;guizlabanquise;nessbealne2s;bmesrimes;fababyofficiel;mryouofficiel;sinikofficiel;desporutti93;youssouphamusik;leckyougo;zehefyu;hayce_lemsi;jokemtp;grodashizzle;punchydinos
kaarisofficiel1;1.0;0.13063535332354792;0.11236547977438666;0.056404427258265291;0.30941418967078271;0.35098003297307201;0.57391579613801835;0.3449197039948414;0.18238280936275778;0.23567983417706381;0.047912348238081139;0.47113534316869787;0.19399935476933003;0.19745685740236149;0.37933311323869262;0.12855493139691923;0.03881380651434127;0.21557886485376734;0.19756072976514463;0.32551963956828484;0.08527102942817813;0.11099835088164405;0.52994855233016636;0.23467449490588846;0.44525431225121626;0.053231243169658229;0.30881965434395103;0.14347826086956522;0.12124248496993988;0.064309960751034262;0.29030938677729412;0.72417880121909917;0.37191194847640102;0.1215488997445346;0.3072170738556585;0.36064371926687527;0.053539800311993652;0.29262554352088255;0.15312660356918867;0.3601830254890836;0.24676374314694829;0.45448298217179905;0.079814921920185078;0.10996563573883161;0.11220632233225873;0.087908674380678731;0.30909090909090908;0.062269344279209021;0.24161386125063297;0.26739059578337021;0.1611185807700368;0.33135497689099314;0.21202009202992728;0.24844434759448925;0.49033568019407747;0.14197421914940234;0.3232586751256244;0.2603830266616598;0.41882473476320792;0.3640755562006262;0.37745587745587744;0.28161211393749136
sneazzy;0.033808472920661338;1.0;0.43593203917090556;0.012962394795849546;0.098765194274816517;0.10386517677230261;0.12488129154795821;0.1453004575183468;0.18563104023701377;0.061585681827241202;0.13710393840686999;0.15687139191789609;0.11915259705344661;0.038056312443233424;0.10993727302740178;0.1293378481532951;0.020661157024793389;0.049898281042945927;0.086080032254813019;0.02823942343945382;0.086610364968934858;0.31472789547126728;0.07167624269280358;0.024549588441835031;0.055090667846085802;0.051364170094831581;0.071557002247539331;0.10434782608695652;0.069138276553106212;0.039328524451044872;0.11437669812147594;0.069590247206230957;0.14966836489474189;0.015290047415094885;0.21128896377422071;0.066553419758605278;0.042604935775774927;0.066372722440550355;0.041044244255658814;0.036599844501880689;0.10822096798092595;0.090489465153970827;0.068536726431463274;0.074619538537064309;0.013452286156787861;0.09342238098936087;0.10909090909090909;0.0098246818108465306;0.24834740717423734;0.1131525226013415;0.025812315596883309;0.058477060083417881;0.04287470582036601;0.10292728989612843;0.13635524615668593;0.05396876597609368;0.085098498436179837;0.093691325572662409;0.064708340635489831;0.15111240125235853;0.18764568764568765;0.3340565994183094
nekfeu1995;0.046991787561955066;0.70443838680366255;1.0;0.0158716857398114;0.10860896534453199;0.13744504488001466;0.1606837606837607;0.18073509994779993;0.23608570332229767;0.07198947662135767;0.19159016878886587;0.19555805003207183;0.14291859339713947;0.050408719346049048;0.16143941895014857;0.17206553013250867;0.024161400097228974;0.057410552641893278;0.12004838221953432;0.036745698716192571;0.10321564542331683;0.409298490422428;0.096536357605117223;0.036320727565762968;0.081662980981866432;0.072207051217732993;0.091560102301790278;0.19565217391304349;0.10220440881763528;0.042431314309960749;0.1506617195944959;0.10040636640704369;0.231279438623474;0.019103588576121811;0.2614434147711317;0.079043361645060345;0.056520938877607362;0.080079469506191131;0.048559638519870003;0.051766164449767803;0.12870940366663525;0.11345218800648298;0.087478311162521694;0.10751104565537556;0.018399033121764295;0.10697367399238954;0.13818181818181818;0.0125370891564553;0.37910410992650578;0.13557373955706517;0.030392223810342352;0.071592830571525198;0.055808071937897365;0.13106220188373163;0.17509163304590883;0.065078997979404529;0.10184842061574492;0.11177243710101389;0.095269550681459717;0.20562317277986275;0.24084249084249085;0.45381099672221964
sopranopsy4;0.30195723743714048;0.26813447962535819;0.20317312017716876;1.0;0.65161526458746699;0.46206951822678144;0.3902184235517569;0.76724905579267355;0.39522224502726194;0.66671981504364808;0.12271246668640805;0.55817030147530466;0.56855575868372943;0.20999091734786557;0.40343347639484978;0.36337123955295453;0.15894992707826933;0.58433341421079155;0.47354097369216813;0.39724251293165413;0.29898185696392476;0.17899276925028543;0.3743788100692228;0.34038450469118747;0.20882795223352499;0.38850983975984316;0.53432535069363718;0.55652173913043479;0.27454909819639278;0.44422934125384533;0.46951415466417368;0.31459532678631902;0.34095933865231182;0.37905761875951266;0.66975568660488627;0.5161376843987483;0.35576026576789965;0.71478115387631691;0.59061591310793093;0.34514803841223812;0.66558454678933687;0.52409724473257702;0.21645459803354541;0.19783996072655866;0.36503518849229361;0.18467034247107245;0.2690909090909091;0.33161400141875119;0.3070606429715193;0.59803063832707182;0.49585924493914257;0.48635441325667905;0.4628473075977379;0.61291494152683956;0.48353242095825755;0.57016700343257787;0.54769280939181475;0.58839654524971841;0.33702260747650953;0.19359721329490556;0.49483849483849485;0.24195558838465445
canardo78190;0.058109330342606999;0.071671209897253091;0.048773313955500192;0.022859390353183191;1.0;0.16792223850522073;0.17689142133586577;0.3031289341971935;0.1106718662157218;0.21654641846374617;0.029375185075510808;0.35631815266196282;0.17700828046026454;0.061943687556766575;0.17266424562561902;0.089232937307940727;0.021555663587749151;0.11274006607066202;0.1400060477774418;0.077136943979558906;0.057033371777223854;0.041608524673347712;0.16946436842039381;0.067863926782939038;0.057691287041132244;0.024945831830545152;0.14757033248081841;0.17826086956521739;0.06513026052104208;0.081945475761111705;0.18259370709047884;0.1581442600745005;0.12217629529943286;0.030289045687738159;0.29991575400168491;0.20218149307107733;0.024826728864240519;0.16826273734108277;0.075930782826843041;0.098042614889995591;0.23818311623583927;0.18956239870340358;0.050751879699248117;0.051546391752577317;0.017253313336064918;0.049002096761668092;0.12181818181818181;0.017166738032546619;0.117166436284506;0.22193059200933216;0.053162255905020474;0.1615206853793259;0.13257227159366328;0.22653204522892909;0.22284629380586979;0.059336733451810016;0.26000919022278879;0.21851295531355613;0.12455007481901886;0.068713844367496738;0.25449550449550451;0.097133096348275702
sethgueko;0.11090770956188271;0.1268190396309499;0.10385307450084778;0.027274349177086276;0.28254127256265532;1.0;0.4262741373852485;0.39226824699849538;0.19386762566816287;0.20141906166540438;0.092034350014806046;0.40566869788325849;0.31003333691794815;0.10190735694822889;0.40805546384945529;0.19588577244524477;0.027204666990763248;0.10536777468784411;0.20098780364882574;0.099134996433114797;0.11076800972258392;0.094634022580235955;0.31309224279294501;0.087751108041213374;0.12935869084475896;0.043914860383068618;0.22075486321010618;0.29130434782608694;0.14729458917835672;0.08995438633711679;0.31885243506967775;0.26633931594988147;0.32971258290877631;0.035489057249964366;0.4962089300758214;0.19245417970496201;0.061632324232009823;0.23527156438162791;0.14182678601972745;0.15134800058837125;0.29470479679943962;0.3908200972447326;0.086321573163678431;0.098674521354933722;0.030487588035654923;0.10204240118039916;0.29454545454545455;0.01963726984503715;0.20515417356672644;0.39647985178323297;0.054808197211554083;0.16484612783226243;0.15358460079384595;0.30531948378973872;0.48651214302665929;0.09238138130827471;0.26829521367267983;0.3564401051445738;0.19066042950161097;0.15911588463372658;0.492007992007992;0.21379437699090531
dossehlafamine;0.065590969935964694;0.055147829733696793;0.043911554033011523;0.0083305062639297926;0.10764577835140915;0.15417200952555413;1.0;0.19571959345349588;0.078787446123093671;0.072627257145134932;0.040213206988451287;0.23364336112892881;0.15700612969136465;0.094913714804722979;0.18355893034004622;0.077293456773208591;0.009684005833738454;0.043431195057765166;0.1149077713940127;0.0370657690231617;0.034339075114401575;0.04306736014207789;0.18979308272935522;0.04311287630230818;0.18098186643078285;0.013260693298333058;0.08657676509338913;0.095652173913043481;0.052104208416833664;0.033971571019412325;0.16375003651874143;0.40298002031832036;0.25790637316158799;0.013508866533036569;0.25139005897219879;0.085936522127849801;0.023188309591843509;0.10337135437997229;0.047383687781515478;0.070194792914328938;0.1033446933469833;0.20889465153970826;0.04178716020821284;0.051546391752577317;0.01114126163178741;0.034169449405917526;0.14909090909090908;0.0062090205212493327;0.098129114374478216;0.1511502238690752;0.021453749991169842;0.068887385864051409;0.046612104394253395;0.11871383259485242;0.30717506526382404;0.036927599386518004;0.11730874701688333;0.13524220803604955;0.10684964747435258;0.21468411121939082;0.38902763902763904;0.15751812012372465
redkcarpediem;0.040638905973011105;0.066149437338365841;0.050918716910619742;0.016886051757671269;0.19017163992217448;0.14626076204433047;0.20177271288382401;1.0;0.1086372600637153;0.17391477657751025;0.050518211430263547;0.28175112251443235;0.17324443488547156;0.081108083560399641;0.17167381974248927;0.12755671253253997;0.018376276130286827;0.084016125720898116;0.16712024997480093;0.046819776005034328;0.050336694073440234;0.054167195230242292;0.13494060360258867;0.046883094456915901;0.048474126492702344;0.019091059472446773;0.13461985584747732;0.27391304347826084;0.074148296593186377;0.059775114034157209;0.24263051798182828;0.12766677954622419;0.2325290781505335;0.019884038845093082;0.35984274080314521;0.12255699597675458;0.029289384672482099;0.17241048788351443;0.060682621586179375;0.064221773939355728;0.2003044304053235;0.18359805510534846;0.059572006940427996;0.062346588119783997;0.010628445083532403;0.039605498175040769;0.10909090909090909;0.0088598251920170498;0.10874950388000054;0.1824575849587429;0.037378644205886304;0.094944200202908349;0.072787944782043631;0.21142345221665335;0.25272262215542018;0.054549991479416707;0.18313742347657233;0.18606834397296282;0.094379810997721733;0.069563955296605778;0.33608058608058611;0.13046489081759846
disizfr;0.073940884917332944;0.29079471587334871;0.22886605072839891;0.029930217564953891;0.23890890177419044;0.24872916285033889;0.27948717948717949;0.37381398348021005;1.0;0.17138358512376928;0.23008587503701511;0.30756895445798588;0.34229487041617379;0.084196185286103536;0.23043908880818753;0.30981973341684443;0.054302382109868742;0.11357994736743873;0.27154520713637736;0.075292471024143603;0.1754281533291169;0.2815552454649245;0.17241854118943006;0.057877165716917055;0.093392304290137104;0.075214435444287464;0.2280864915136015;0.29999999999999999;0.20941883767535069;0.12066405006895088;0.35773759093166613;0.16728750423298341;0.39402095549360761;0.036723025874468115;0.45481606290367876;0.15424228877961554;0.10592999152125569;0.18597781476285496;0.10615984377672616;0.085177246842757778;0.28027802847636624;0.26108265802269043;0.22079236552920764;0.21796759941089838;0.027181854025094512;0.16261551603634386;0.29272727272727272;0.019692447701029746;0.25617583861387494;0.2869641294838145;0.059705991085073268;0.1354356893247661;0.095106958446029011;0.27728142175734244;0.33602299396144819;0.12601942692991211;0.21307976224004269;0.26744273375891853;0.12169212310761805;0.20985299301250285;0.43398268398268397;0.35806287798347258
algerino_off;0.04278065193010383;0.043195638498637029;0.031246755943112218;0.022606643590571868;0.2093005336055942;0.11570342553581242;0.11535295979740424;0.26793993920225995;0.076734992548701156;1.0;0.024045010364228604;0.19323284156510584;0.15517797612646522;0.085376930063578563;0.18124793661274349;0.098530073789904291;0.025658726300437529;0.094990574665447289;0.13698215905654673;0.062473383984007334;0.048402098292347186;0.029430419890904478;0.11273423710991776;0.16891152938467738;0.047023440955329503;0.016887723418275893;0.11453925443695265;0.26956521739130435;0.063126252505010014;0.085127824334358754;0.15761488796050133;0.087876735523196747;0.10410458521580314;0.029559429344332068;0.2614995787700084;0.1175324094769781;0.019920523087228477;0.18415663857930831;0.07260961286276299;0.10122087036920296;0.20751107938090171;0.14123824959481363;0.057547715442452282;0.037800687285223365;0.013870785691645213;0.039178380057466801;0.098181818181818176;0.013282746073396374;0.072864631092011439;0.15145900880037055;0.047433249898158857;0.088907676699357452;0.12204151884505954;0.23829931478656691;0.14532078158373546;0.038656060569174963;0.19690793471977233;0.16368757040931281;0.11125790318014532;0.042858031474838791;0.17082917082917082;0.058076727759567889
