;twitter;followers_count
booska-p;booska_p;91379.0
13_or_du_hiphop;13or_du_hiphop;19324.0
le monde;lemondefr;3472366.0
le figaro;le_figaro;1231651.0
liberation;libe;1230473.0
telerama;telerama;154320.0
les echos;lesechos;422919.0
la croix;lacroixcom;26090.0
l'humanite;humanite_fr;30377.0
l'equipe;lequipe;2185263.0
le parisien;le_parisien;829709.0
le point;lepoint;349445.0
la tribune;latribune;86346.0
rue 89;rue89;736903.0
slate;slatefr;378903.0
mediapart;mediapart;991662.0
paris match;parismatch;303508.0
le nouvel obs;lenouvelobs;691330.0
l'express;lexpress;738098.0
marianne;marianne2fr;246404.0
vsd;vsdmag;1857.0
courrier international;courrierinter;134049.0
le canard enchaine;canardenchaine;189200.0
20 minutes;20minutes;1445192.0
direct matin;direct_matin;8761.0
metronews;metronews;162429.0
