;twitter;followers_count
booba;booba;1940289
rohff;rohff;368594
la fouine;lafouine78;2644928
kaaris;kaarisofficiel1;276164
mac tyer;general_mactyer;77083
joke;jokemtp;48118
joey starr;joeystarr_;80604
akhenaton;akhenatoniam;51049
oxmo pucino;oxmopuccino;330988
lino;monsieurbors;10377
disiz;disizfr;112008
gradur;gradidur;56333
ixzo;ixzoo;5899
niro;officielniro;79849
bigflo et oli;bigfloetoli;15745
orelsan;orel_san;737302
youssoupha;youssouphamusik;328436
rim'k;rimkofficiel;280442
alonzo;alonzopsy4;114641
soprano;sopranopsy4;1478757
tunisiano;tunisniper;74210
blacko;blackoofficiel;9864
diams;diams;37707
kery james;keryjames922012;128911
medine;medinrecords;34186
black m;bmesrimes;423868
maitre gims;maitrgims;1001669
canardo;canardo78190;51898
maska;maskaleblanc9;107110
grand corps malade;grandcorpsmalad;102273
abd al malik;abdalmalik1;6908
nessbeal;nessbealne2s;58288
doc gyneco;gyneco;25757
don choa;donchoarap;227
leck;leckyougo;67432
hayce lemsi;hayce_lemsi;74037
lim;lim92officiel;3025
sefyu;zehefyu;53262
sinik;sinikofficiel;41265
grodash;grodashizzle;12008
sultan;sultanofficiel;111802
fababy;fababyofficiel;177310
mister you;mryouofficiel;142351
mc solaar;mcsolaar1;2031
MC Jean Gab'1;gab1mc;548
kool shen;officielks;996
despo rutti;desporutti93;37897
guizmo;guizlabanquise;72977
nekfeu;nekfeu1995;115516
sneezy west;sneazzy;71518
aketo;aketofficiel;17782
l'algerino;algerino_off;50107
jul;jul_levrai;34609
hocus pocus;hocpoc;16871
lord kossity;lordkossity;9302
dosseh;dossehlafamine;31428
nor;nor_officiel;11026
lacrim;lacrim_officiel;189844
seth gueko;sethgueko;87301
still fresh;stillfresh;24956
dinos punchlinovic;punchydinos;21631
r,e,d,k,;redkcarpediem;32552
