;twitter;followers_count
Laurent Garnier;laurentgarnier;121233.0
marine Lorphelin;MarineLorphelin;158386.0
Sliimy;Sliimy;133857.0
Johnny Hallyday;JohnnySjh;443208.0
Gerard Louvin;GLouvin;184186.0
Christian Audifier;CAudigierBrands;94490.0
Enora Malagre;EnoraMofficiel;366240.0
Louis Delort;LouisDelortOff;127912.0
Dominique Farrugia;farrugiadom;166736.0
Cartman;CartmanOfficiel;266336.0
Fabrice Eboue;fabriceeboue;163855.0
Pascal Obispo;ObispoPascal;262631.0
Nicolas Bedos;NicolasBedos1;178731.0
Jean-Roch;JeanRoch;150852.0
Leila Bekhti;LeilaBekhti;192720.0
Valerie Benaim;BenaimValerie;331702.0
Jose Garcia;JoseGarciaOff;250506.0
Guillaume Pley;guillaumepley;308987.0
Julie Brochu-Thomassin;JulieOfficiel26;253241.0
Fauve Hautot;FauveDanse;373102.0
Laurence Ferrari;LaurenceFerrari;238985.0
Woodkid;Woodkid;229103.0
Bruce Toussaint;Bruce_Toussaint;227267.0
Bertrand Chameroy;bchameroy;500895.0
Chris Marques;LeChrisMarques;343231.0
Maude;Maude_Official;412900.0
Ben l'Oncle Soul;BenOncleSoul;208906.0
Laury Thilleman;LauryThilleman;259876.0
Patrick Sébastien;PatSebastien;308690.0
