;twitter;followers_count
francois hollande;fhollande;888802.0
nicolas sarkozy;nicolassarkozy;677165.0
marine le pen;mlp_officiel;499836.0
jean-luc mélenchon;jlmelenchon;384957.0
nkm;nk_m;367567.0
najat belkacem;najatvb;307073.0
anne hidalgo;anne_hidalgo;295909.0
arnaud montebourg;montebourg;263602.0
francois bayrou;bayrou;261865.0
cecile duflot;cecileduflot;260160.0
segolene royal;royalsegolene;241013.0
fleur pellerin;fleurpellerin;207477.0
benoit hamon;benoithamon;201486.0
francois fillon;francoisfillon;200979.0
jean francois cope;jf_cope;194121.0
christianne taubira;chtaubira;170001.0
alain juppe;alainjuppe;160392.0
manuel valls;manuelvalls;151546.0
valerie pecresse;vpecresse;141678.0
martine aubry;martineaubry;141289.0
eelv;eelv;137141.0
ump;ump;133677.0
nadine morano;nadine__morano;130472.0
eva joly;evajoly;120283.0
parti socialiste;partisocialiste;105341.0
rachida dati;datirachida;90272.0
christine boutin;christineboutin;86237.0
bruno le maire;bruno_lemaire;72325.0
mouvement democrate;modem;69685.0
front national;fn_officiel;69233.0
harlem desir;harlemdesir;66021.0
